idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
13,ok,2_sensor,euresys multicam studio tap & trigger mode 설정 매뉴얼.pdf,Unknown_euresys_Manual_KO.pdf,Unknown,euresys,Manual,KO,1260605,8,4f5620c979f88e5eb847a796576ed9c1
14,ocr,2_sensor,AS_131472_GS_UM_D05KO_KK_KR_2023_1.pdf,Unknown_AS_Manual_EN_v2.pdf,Unknown,AS,Manual,EN,1541664,0,7746543d2809c6104cbb809a6a83bf27
15,ok,2_sensor,Unknown_Unknown_Datasheet_EN.pdf,Unknown_Unknown_Datasheet_KO.pdf,Unknown,Unknown,Datasheet,KO,941636,8,65c2365c9a17779e2d1692773ff4bb96
16,ok,2_sensor,Unknown_DF-20_Manual_KO.pdf,Unknown_DF-20_Manual_KO.pdf,Unknown,DF-20,Manual,KO,113684,1,4665727f5379299180d910c6c0ed41ae
17,ocr,2_sensor,DF Series HW 매뉴얼-V2VERSION.pdf,Keyence_DF_Manual_EN.pdf,Keyence,DF,Manual,EN,895776,0,533283061f6e449b21bb734a618a9cce
18,ok,2_sensor,Unknown_Unknown_Manual_EN_2.pdf,Unknown_Unknown_Manual_EN.pdf,Unknown,Unknown,Manual,EN,118899,2,69edac02b4cc0a234525e03eea1f4a2f
19,ok,2_sensor,Unknown_DF-20_MaintenanceManual_KO.pdf,Unknown_DF-20_MaintenanceManual_KO.pdf,Unknown,DF-20,MaintenanceManual,KO,4097320,18,46976657da97109db353cc823a32a58d
20,ocr,2_sensor,DF Series SW 매뉴얼.pdf,Keyence_DF_Manual_EN_v2.pdf,Keyence,DF,Manual,EN,1151424,0,e1ae7e71cf63d1cca23e27933f3af291
21,ok,2_sensor,FireBird-CLD-SingleDeca.pd.pdf,Unknown_FireBird-CLD-SingleD_Datasheet_EN.pdf,Unknown,FireBird-CLD-SingleD,Datasheet,EN,216786,4,6eb635e7c5046587babaa13f699bae76
22,ok,2_sensor,Unknown_Unknown_Manual_KO.pdf,Unknown_Unknown_Manual_KO.pdf,Unknown,Unknown,Manual,KO,1685704,4,3695a4d1bb478d7c718340c230669ffe
23,ocr,2_sensor,AS_59690_LV-N_IM_KK_KR.pdf,Unknown_AS_Manual_EN_v3.pdf,Unknown,AS,Manual,EN,3131232,0,0fccd68a6114dfa2d9022d7ac57f0e87
24,ocr,2_sensor,AS_124431_LR-X_C_635D74_KK_KR_2023_4.pdf,Unknown_AS_Manual_EN_v4.pdf,Unknown,AS,Manual,EN,3389904,0,ef02cfbe1393f02d5eed8f3a4f9e0743
25,ok,2_sensor,Genie Nano CL Series User Manual.pdf,Unknown_Genie_QuickStart_EN.pdf,Unknown,Genie,QuickStart,EN,6314086,130,de022bc7f81d206890b41b3e15ed1bc7
26,ok,2_sensor,grablink-migration-guide-1.0.0.pdf,Unknown_grablink-migration-g_ProductSpec_EN.pdf,Unknown,grablink-migration-g,ProductSpec,EN,5785396,16,3941faa1f088a1ff12c97353f16440f4
27,ok,2_sensor,grablink-gpio-user-guide-1.2.0.pdf,Unknown_grablink-gpio-user-g_ProductSpec_EN.pdf,Unknown,grablink-gpio-user-g,ProductSpec,EN,1117312,22,aa69b98638781abb914ec4002213fd57
